date,open,high,low,close,volume
10/17/2022,1324.01,1337.9,1322.55,1331.36,20791174.84
10/17/2022,1331.49,1337.19,1329.44,1331.37,17877590.08
10/17/2022,1331.58,1333.85,1323.14,1326.14,14845476.14
10/17/2022,1325.99,1330.59,1323.62,1329.19,10510434.24
10/17/2022,1329.06,1333.3,1327.17,1328.79,8200232.43
10/17/2022,1329.03,1331.46,1324.75,1327.81,9110800.943
10/17/2022,1327.86,1329.06,1318.41,1320.83,11732775.82
10/17/2022,1320.83,1323.75,1319.73,1322.29,10405919.73
10/17/2022,1322.29,1322.86,1316.67,1321.11,8028840.353
10/17/2022,1320.92,1322.71,1314.71,1317.85,11309330.68
10/17/2022,1317.84,1322.1,1316.19,1320.63,6366304.106
10/17/2022,1320.49,1323.43,1319.11,1322.33,8310029.634
10/17/2022,1322.35,1326.11,1321.83,1325.71,9233755.713
10/17/2022,1325.68,1329.17,1324.02,1327.71,6110683.492
10/17/2022,1327.7,1332,1326.55,1329.84,6813291.58
10/17/2022,1329.93,1330.74,1326.14,1328.69,3997849.152
10/17/2022,1328.72,1333.71,1327.4,1330.51,2657810.8
10/17/2022,1330.33,1338.79,1330.17,1333.88,9589507.124
10/17/2022,1333.66,1334.32,1326.22,1331.01,7776237.015
10/17/2022,1331.1,1333.01,1328.71,1330.85,5080030.475
10/17/2022,1330.69,1334.29,1330.15,1331.24,6942610.251
10/17/2022,1331.24,1342.04,1329.06,1337.76,10956679.95
10/17/2022,1337.84,1341.24,1335.07,1337.98,11489269.92
10/17/2022,1337.79,1340.32,1334.81,1335,7854585.109
10/17/2022,1335.02,1335.71,1330.66,1332.64,6365340.578
10/17/2022,1332.6,1333.98,1330.49,1332.54,6436089.367
10/17/2022,1332.57,1334.94,1327.25,1327.74,5794016.325
10/17/2022,1327.74,1330.61,1327.52,1329.87,4499378.111
10/17/2022,1329.74,1337.54,1328.8,1333.27,8084580.886
10/18/2022,1333.27,1338,1331.51,1336.79,8150665.942
10/18/2022,1336.66,1337.79,1334,1335.16,5710125.772
10/18/2022,1335.39,1336.02,1330.45,1330.6,4028171.558
10/18/2022,1330.62,1334.96,1330.23,1331.89,5374560.41
10/18/2022,1332.07,1336.66,1330.17,1335.31,7495579.941
10/18/2022,1335.49,1340.68,1334.4,1336.04,7045075.106
